antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'mortgage_NO', 'save_act_YES', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.2783333333333333,0.7583333333333333,0.22333333333333333,0.8023952095808383,1.058103573073633,0.012263888888888907,1.222979797979798
"frozenset({'mortgage_NO', 'save_act_YES'})",frozenset({'current_act_YES'}),0.45,0.7583333333333333,0.35333333333333333,0.7851851851851852,1.0354090354090355,0.012083333333333335,1.1250000000000002
"frozenset({'mortgage_NO', 'car_NO'})",frozenset({'current_act_YES'}),0.3283333333333333,0.7583333333333333,0.2633333333333333,0.8020304568527918,1.05762258046522,0.014347222222222233,1.2207264957264956
"frozenset({'sex_FEMALE', 'car_NO'})",frozenset({'current_act_YES'}),0.255,0.7583333333333333,0.2,0.7843137254901961,1.0342598577892697,0.00662500000000002,1.1204545454545456
"frozenset({'mortgage_NO', 'pep_YES'})",frozenset({'current_act_YES'}),0.30333333333333334,0.7583333333333333,0.23833333333333334,0.7857142857142857,1.0361067503924648,0.008305555555555566,1.1277777777777778
"frozenset({'pep_YES', 'save_act_YES'})",frozenset({'current_act_YES'}),0.29833333333333334,0.7583333333333333,0.23333333333333334,0.7821229050279329,1.0313708637730983,0.007097222222222227,1.109188034188034
"frozenset({'region_INNER_CITY', 'save_act_YES'})",frozenset({'current_act_YES'}),0.28833333333333333,0.7583333333333333,0.22666666666666666,0.7861271676300577,1.0366512100616148,0.008013888888888876,1.1299549549549548
frozenset({'married_NO'}),frozenset({'current_act_YES'}),0.34,0.7583333333333333,0.27,0.7941176470588235,1.0471881060116355,0.012166666666666659,1.1738095238095236
"frozenset({'mortgage_NO', 'pep_NO'})",frozenset({'married_YES'}),0.34833333333333333,0.66,0.285,0.8181818181818181,1.2396694214876032,0.055099999999999955,1.8699999999999992
"frozenset({'mortgage_NO', 'pep_NO', 'current_act_YES'})",frozenset({'married_YES'}),0.2633333333333333,0.66,0.215,0.8164556962025317,1.2370540851553509,0.041200000000000014,1.8524137931034483
"frozenset({'mortgage_NO', 'save_act_YES', 'pep_NO'})",frozenset({'married_YES'}),0.23666666666666666,0.66,0.2,0.8450704225352114,1.2804097311139566,0.043800000000000006,2.1945454545454557
"frozenset({'pep_NO', 'children_(-0.003, 1.0]'})",frozenset({'married_YES'}),0.32,0.66,0.26,0.8125,1.231060606060606,0.04879999999999998,1.8133333333333332
"frozenset({'age_(50.667, 67.0]'})",frozenset({'save_act_YES'}),0.31833333333333336,0.69,0.25166666666666665,0.7905759162303664,1.1457621974353136,0.03201666666666664,1.4802499999999994
"frozenset({'age_(17.951, 34.333]'})","frozenset({'income_(4956.094, 24386.173]'})",0.325,0.475,0.29,0.8923076923076922,1.8785425101214575,0.135625,4.874999999999997
"frozenset({'age_(17.951, 34.333]'})",frozenset({'current_act_YES'}),0.325,0.7583333333333333,0.255,0.7846153846153846,1.0346576500422655,0.00854166666666667,1.1220238095238095
"frozenset({'age_(17.951, 34.333]', 'current_act_YES'})","frozenset({'income_(4956.094, 24386.173]'})",0.255,0.475,0.23,0.9019607843137255,1.8988648090815274,0.10887500000000001,5.355000000000001
"frozenset({'age_(17.951, 34.333]', 'income_(4956.094, 24386.173]'})",frozenset({'current_act_YES'}),0.29,0.7583333333333333,0.23,0.7931034482758622,1.045850701023115,0.01008333333333336,1.1680555555555565
