MCQ1,MCQ2,final,final_linear,final_poly2,final_poly3,final_poly4,final_poly8,final_poly10
85,80,84,76.61029411764706,76.35034977375417,79.42730446917818,79.511067920002,86.99999859323725,86.99977111606859
90,85,73,80.00441176470588,80.05498490029524,81.14354696256754,81.53262405383168,75.33332420128863,75.3321276253555
60,50,67,59.639705882352935,59.4316717553949,58.23824162439797,58.36237974504354,56.666672562823805,56.668380703849834
90,60,78,80.00441176470588,80.05498490029524,81.14354696256754,81.53262405383168,75.33332420128863,75.3321276253555
95,95,90,83.39852941176471,83.86658653445934,80.82438268613595,80.40904330272599,83.49997921806062,83.49579690094106
90,60,75,80.00441176470588,80.05498490029524,81.14354696256754,81.53262405383168,75.33332420128863,75.3321276253555
60,60,49,59.639705882352935,59.4316717553949,58.23824162439797,58.36237974504354,56.666672562823805,56.668380703849834
55,40,59,56.245588235294115,56.36883567459225,55.06350921377191,55.9295471720535,59.50001005917147,59.50107101358299
95,65,77,83.39852941176471,83.86658653445934,80.82438268613595,80.40904330272599,83.49997921806062,83.49579690094106
65,70,68,63.03382352941176,62.60147434382063,62.450124608542865,61.77346589948439,60.66667424033221,60.66783676313935
65,75,74,63.03382352941176,62.60147434382063,62.450124608542865,61.77346589948439,60.66667424033221,60.66783676313935
45,50,52,49.45735294117647,50.56406303585614,53.873867675303245,53.295274115358836,52.000011244144844,52.001686666515525
85,70,90,76.61029411764706,76.35034977375417,79.42730446917818,79.511067920002,86.99999859323725,86.99977111606859
60,65,54,59.639705882352935,59.4316717553949,58.23824162439797,58.36237974504354,56.666672562823805,56.668380703849834
55,45,60,56.245588235294115,56.36883567459225,55.06350921377191,55.9295471720535,59.50001005917147,59.50107101358299
65,60,40,63.03382352941176,62.60147434382063,62.450124608542865,61.77346589948439,60.66667424033221,60.66783676313935
