MCQ1,MCQ2,final,final_linear,final_poly2,final_poly3,final_poly4,final_poly8,final_poly10
85,80,84,77.57225433526011,77.38329976943066,79.91018718973692,78.72882734199402,80.47298900147871,80.34964529483113
90,85,73,80.59537572254334,81.40206636896946,83.44435648026996,81.32979916709337,73.79955347395298,73.82754097977886
60,50,67,59.433526011560694,59.87139188045405,58.33283644070451,56.75254854124398,58.96950572953119,59.122901939510484
90,60,78,65.47976878612717,64.4514198990165,63.13069362652283,63.393895463205354,60.527558002244405,60.55792498063238
95,95,90,86.64161849710982,90.38255552636934,87.13106042279219,88.26669995869247,89.97738737325562,89.97677921224385
90,60,75,65.47976878612717,64.4514198990165,63.13069362652283,63.393895463205354,60.527558002244405,60.55792498063238
60,60,49,65.47976878612717,64.4514198990165,63.13069362652283,63.393895463205354,60.527558002244405,60.55792498063238
55,40,59,53.38728323699422,56.548638472988,59.87439474650776,61.7652105328217,58.79953481475286,58.968054939186004
95,65,77,68.5028901734104,67.21291188745889,66.98233527228325,67.89390652446559,67.15571517412172,67.00897826602886
65,70,68,71.52601156069363,70.28872252867538,71.30934948314086,72.13948198965863,75.36263674950169,75.39737844551564
65,75,74,74.54913294797687,73.67885182266596,75.74190915649308,75.7633520280342,81.02949423928658,81.18923075712519
45,50,52,59.433526011560694,59.87139188045405,58.33283644070451,56.75254854124398,58.96950572953119,59.122901939510484
85,70,90,71.52601156069363,70.28872252867538,71.30934948314086,72.13948198965863,75.36263674950169,75.39737844551564
60,65,54,68.5028901734104,67.21291188745889,66.98233527228325,67.89390652446559,67.15571517412172,67.00897826602886
55,45,60,56.41040462427746,58.05285585033397,58.1262751058521,56.998655007804814,60.83509378178178,60.39853159179893
65,60,40,65.47976878612717,64.4514198990165,63.13069362652283,63.393895463205354,60.527558002244405,60.55792498063238
